person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
22,59000,3,123.0,4,3,35000,16.02,0.59,1,3,1
21,9600,2,5.0,1,1,1000,11.14,0.1,0,2,0
25,9600,0,1.0,3,2,5500,12.87,0.57,0,3,1
23,65500,3,4.0,3,2,35000,15.23,0.53,0,2,1
24,54400,3,8.0,3,2,35000,14.27,0.55,1,4,1
21,9900,2,2.0,5,0,2500,7.14,0.25,0,2,1
26,77100,3,8.0,1,1,35000,12.42,0.45,0,3,1
24,78956,3,5.0,3,1,35000,11.11,0.44,0,4,1
24,83000,3,8.0,4,0,35000,8.9,0.42,0,2,1
21,10000,2,6.0,5,3,1600,14.74,0.16,0,3,1
22,85000,3,6.0,5,1,35000,10.37,0.41,0,4,1
21,10000,2,2.0,2,0,4500,8.63,0.45,0,2,1
23,95000,3,2.0,5,0,35000,7.9,0.37,0,2,1
26,108160,3,4.0,1,4,35000,18.39,0.32,0,4,1
23,115000,3,2.0,1,0,35000,7.9,0.3,0,4,0
23,500000,0,7.0,0,1,30000,10.65,0.06,0,3,0
23,120000,3,0.0,1,0,35000,7.9,0.29,0,4,0
23,92111,3,7.0,3,5,35000,20.25,0.32,0,4,1
23,113000,3,8.0,0,3,35000,18.25,0.31,0,4,1
24,10800,0,8.0,1,1,1750,10.99,0.16,0,2,1
25,162500,3,2.0,5,0,35000,7.49,0.22,0,4,0
25,137000,3,9.0,4,4,34800,16.77,0.25,1,2,0
22,65000,3,4.0,1,3,34000,17.58,0.52,0,4,1
24,10980,2,0.0,4,0,1500,7.29,0.14,0,3,0
22,80000,3,3.0,4,3,33950,14.54,0.42,1,4,1
24,67746,3,8.0,2,2,33000,12.68,0.49,0,3,1
21,11000,0,3.0,5,4,4575,17.74,0.42,1,3,1
23,11000,2,0.0,4,0,1400,9.32,0.13,0,3,0
24,65000,3,6.0,2,1,32500,9.99,0.5,0,3,1
21,11389,1,5.0,1,2,4000,12.84,0.35,1,2,1
21,11520,2,5.0,3,1,2000,11.12,0.17,0,3,1
25,120000,3,2.0,5,0,32000,6.62,0.27,0,2,0
26,95000,3,7.0,2,2,31050,14.17,0.33,1,3,1
25,306000,3,2.0,0,2,24250,13.85,0.08,0,3,0
26,300000,0,10.0,3,2,7800,13.49,0.03,0,4,0
21,12000,2,5.0,1,0,2500,7.51,0.21,0,4,1
22,48000,3,1.0,1,4,30000,18.39,0.63,0,2,1
24,64000,3,8.0,0,3,30000,14.54,0.47,1,3,1
25,75000,3,4.0,2,3,30000,16.89,0.4,1,4,1
23,71500,3,3.0,0,3,30000,10.99,0.42,0,4,1
26,62050,3,6.0,3,4,30000,17.99,0.41,0,2,1
24,12000,2,4.0,5,1,2500,12.69,0.21,0,3,1
26,300000,0,10.0,5,0,20000,7.88,0.07,0,4,0
23,300000,2,1.0,1,5,24250,19.41,0.08,1,2,0
26,300000,2,9.0,2,1,10000,10.38,0.03,0,4,0
26,300000,0,0.0,1,3,25000,15.33,0.08,0,3,0
25,300000,0,9.0,2,4,18000,16.45,0.06,0,3,0
26,80690,3,8.0,4,0,30000,7.49,0.37,0,3,1
22,66300,3,4.0,3,1,30000,12.69,0.38,0,3,1
26,89028,3,0.0,0,0,30000,6.62,0.34,0,3,1
24,78000,3,4.0,0,3,30000,10.99,0.38,1,4,1
23,78000,3,7.0,0,5,30000,18.62,0.38,1,3,1
23,92004,3,6.0,4,2,30000,15.23,0.33,1,3,1
23,97000,3,7.0,5,1,30000,10.65,0.31,0,2,1
25,120000,3,9.0,1,0,30000,7.9,0.25,0,4,0
26,280000,3,4.0,4,2,10000,15.96,0.04,1,3,0
26,277104,3,0.0,5,1,20000,11.48,0.07,0,3,0
23,277000,2,3.0,4,0,35000,10.99,0.13,0,4,0
25,128000,3,9.0,4,0,30000,7.29,0.23,0,4,0
24,12000,2,2.0,5,4,1750,10.99,0.15,1,3,0
21,131000,3,0.0,5,0,30000,5.99,0.23,0,4,0
22,275000,2,6.0,5,1,12000,11.58,0.04,0,2,0
26,263000,0,0.0,1,1,10000,10.99,0.04,0,4,1
25,221850,0,9.0,3,3,25000,15.7,0.1,0,2,1
22,70000,3,6.0,1,3,29100,15.99,0.42,0,3,1
22,12000,0,7.0,1,3,1500,14.84,0.13,1,3,0
26,260000,2,10.0,2,1,28000,10.99,0.11,0,3,0
